text,annotation_43,annotation_44,annotation_45,annotation_46
Save Western Ghats from annihilation,True,False,False,False
Save Beacon Hill Park,True,False,False,False
Government of India: Don't Tax Medical Bills,True,False,False,False
NO FAILING @ UCR,True,False,False,False
WIAA - Let them play football!,True,False,True,False
#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,True,False,False,False
Schedule Disneyland to reopen at a later date.,True,True,True,True
Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,True,False,False,False
Cancel 12 th board exam,True,False,False,True
Close all CCPS schools to limit spread of Coronavirus,True,True,True,True
SAVE OUR FREEDOMS- No mandated mask-wearing,False,False,False,False
Appeal to the President of India on issues thrown up during lockdown,True,False,True,True
Waive off School Fee at Indian Schools in Oman due to COVID-19,True,True,True,False
Covid-19 Youth Brigades exploited,True,False,False,False
Protection from COVID-19,True,False,False,False
Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,True,False,False,False
"Allow restaurants to offer outdoor ""Curbside Plus"" dining",True,True,True,True
Close Holland and Barrett Stores. (Covid-19 Crisis),True,True,False,True
Doug Ford: Reinstate the Covid benefit for all ODSP recipients,True,False,False,False
Petition for holidays in Colleges in concern of COVID-19,True,False,True,False
Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,True,False,False,False
"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",True,False,False,False
Duval County Beach Access (COVID-19),True,False,True,False
Save Local Flower Shops - Let Them Deliver On Mother's Day,True,False,False,True
Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,True,False,False,False
Ticketmaster Refund Our Money Now! - COVID 19,True,False,True,False
"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",False,False,False,False
Get British performers home from cruise ships #GetBenhome #Covid 19,True,False,False,False
Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,False,True,True,False
#PostPoneJEEandNEET in COVID,True,False,True,True
Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,False,False,False,False
Reverse Postponement of Winter & Spring Sports,True,False,True,False
#letthedjsplay,True,False,False,False
Pass all CSUDH Students for Spring 2020 with an A letter grade,True,False,False,True
"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",True,False,False,False
BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,True,False,False,False
Pakistan didn't cause the pandemic - racist British reports will increase hate crime.,False,False,False,False
Stop Australian Banks Charging Interest during Covid-19,True,True,True,True
Denver Public Schools: SAFE Openings - 14 Days w/o New COVID Cases,True,False,True,True
Postpone UCLA Class of 2020 Commencement,True,False,True,True
NO IN SCHOOL EXAM COVID-19,True,False,False,True
Safeguard the Right of All Laboring People to Have Support During COVID-19 Crisis,True,False,False,False
TRUSD Must Condemn Anti-Asian and Racist Behavior,True,False,False,False
¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,True,False,False,False
Shut Down PISD schools during Covid-19 Outbreak,True,True,True,True
Renew I Am Not Okay With This,True,False,False,False
Scotland Back in the EU,True,False,False,False
Government of Ghana Must Implement the National Health Laboratory Policy,True,False,False,False
Freeze Rent for All NYC Residents,True,False,False,False
Closure of educational institutes due to multiple outbreaks of COVID-19 in Pune .,True,True,True,True
Spring sports for International leadership of texas,True,False,False,False
Temporary online classes for HELP students due to covid-19,True,True,True,True
Dominos Employees Demand COVID-19 Hazard Pay,True,False,False,False
Make FUHSD Classes Accessible Online,True,False,True,True
To impeach Governor Ron DeSantis for neglecting his duty to protect Floridians from COVID,True,False,False,False
Partial Refund of Fees for Curtin University Malaysia,True,True,True,False
ICE: Do not deport International Students,True,False,False,False
Free data for students,True,False,False,False
300 Trees being removed for redevelopment by Kejriwal Ji's Govt in Ayur Vigyan Nagar Delhi,True,False,False,False
A CALL TO ACTION FOR ESSENTIAL HEALTH & FITNESS. RE-OPEN OUR GYMS IN ONTARIO!!!,True,True,True,True
"Anchorage, AK: Repeal Emergency Order 15 to Help Our Community",False,False,False,False
COVID-19 TOTAL ENTRY BAN: ZAMBIA MUST CLOSE ITS BORDERS AND AIRPORTS IMMEDIATELY,True,True,True,True
No detriment policy for UWE Bristol,False,True,True,False
FDA expedite review and approval of lifesaving Cuban antiviral for COVID-19,False,False,False,False
Zero Percent Interest on Credit Cards during COVID19,True,False,False,False
"Make Corona Testing Free in India.
(Including Pvt. Hospitals and Clinics)",False,False,False,False
Petition for Nirma University to take preventive action against COVID 19,False,False,True,False
Hazard Pay and Family Leave for Walgreens Employees,False,False,False,False
"4-POINT THOMASIAN DEMANDS: FIGHT FOR OUR WELL-BEING, LIVELIHOOD, AND DEMOCRATIC RIGHTS!",False,True,True,False
Make masks mandatory in South Carolina,False,False,False,False
Pay PetSmart Employees While on Leave,True,False,False,False
"Wedding, Event & Creative Professionals Covid-19 Relief Fund",True,False,False,True
Dental Hygiene High Risk Occupation for exposure to COVID/19 Ensuring Personal Safety,False,False,False,False
Allow college students to pass during the COVID-19 pandemic.,True,False,False,False
HBUHSD DISTRICT SHUTDOWN FOR COVID-19 (CORONAVIRUS),True,True,True,True
Support Peoria Academy During The COVID-19 Crisis,True,False,False,False
Concerning the Safety of Soccer in a Covid-19 World - A Letter to Governor DeWine,False,False,True,False
Suspend Online Classes or Refund Our Money,True,False,False,True
Keep kids in extra curricular activities in ND.,True,False,True,False
COVID-19 crisis -more Australian music to be played on Australian radio.,True,False,False,False
Extend financial package to cover losses of covid19 lockdown to small businessman also....,True,True,True,True
Australian Medical Schools Must Consider an Opt In/Opt Out System for 2020 GPA Results,True,False,False,False
COVID-19:Provide Work From Home to all employees before it's too LATE. Health is important,True,False,True,False
Make small grants/funding available for Self Employed & Freelancers during COVID-19,True,False,True,False
Το Σπίτι Δεν Είναι Ασφαλές Για Όλες / Home Is Not Safe For All,True,False,False,False
Partial tuition refund due to the COVID-19 virus causing classes to go online,True,False,True,True
Bryn Mawr College COVID-19 Credit/No Credit Spring Semester,True,False,True,False
"Save Our Future Teachers - Support, & Share",True,False,False,False
Save Services for Those with Developmental Disabilities During Covid-19,True,False,False,False
PASSING GRADES FOR ALL STUDENTS FOR THE SPRING 2020 SEMESTER!,True,False,False,False
Kenyan Citizens requesting IMF to withhold any loans or grants to the government of Kenya!,True,True,True,False
Tell west Virginia representatives to not make hazelton/gilmer prison a quarantine site,True,False,False,False
Save Georgia Disability Services,True,False,False,False
Protect Doctors Nurses & Medics against punitive litigation during & after COVID-19 Crisis,False,False,False,False
Safe Staffing during COVID at Emanate,False,False,False,False
Help International Students Stay at The University of Texas at Austin!,True,True,True,False
The Immediate Issue of Travel Documents for Sarah's children to come to Canada,True,False,False,False
Environmental Impact Assessment Notification 2020-Withdrawal,True,False,False,False
ISO: Give engineers the Standards needed to build ventilators in fight against COVID-2019,False,False,False,False
Protect People in Long-Term Care,False,False,False,False
Please facilitate 14-days-self-quarantine of Iranian new immigrants,True,False,False,False
Waive EDD False Statement Penalty Weeks during COVID 19 for Claimants in Good Standing,True,False,True,False
Bring back McDonald's SNACK WRAPS!,True,False,False,False
Pay rise for frontline NHS staff tackling COVID-19,True,False,True,False
Allow Cigarettes and Tobaccos during COVID-19 lockdowns,True,True,True,True
Family pleads for compassionate visits in father's dying days,True,False,False,False
"Immediately Enact Vegan Law to Stop COVID-19, Climate Change, Rescuing Our World!",True,False,False,False
Time to Save the New York YMCA Camp from Potential Sale,True,False,False,False
Supermarkets: Stop Selling Suffering!,True,False,False,False
Give Oregon Kids What They Need to Learn to Read!,False,False,False,False
Allow spa and leisure facilities to demonstrate that they can reopen safely.,True,False,True,True
Compensate hospital locums and locum GPs from Covid 19 self-isolation income loss,True,False,False,False
Removal of payment of compulsory payment of ₦52000 covid test upon arrival in Nigeria.,True,False,False,False
Levez les sanctions contre l’Iran pour lutter contre l’épidémie de coronavirus !,False,False,False,False
Freeze rents & mortgages for the duration of Coronavirus,True,False,False,False
COVID-19: BE PROACTIVE NOT REACTIVE,True,False,False,False
Require Vaccination Options for WA Teachers & Students before returning to school.,False,False,False,False
Respiratory Therapists Deserve Hazard Pay,True,False,False,False
Relaxation in EMI due to COVID-19. Appeal to Govt. of India for 6 months relief.,True,True,True,True
Support Louisiana Vote-By-Mail,True,False,False,False
Stop Evictions in Whittier - COVID-19,True,False,False,False
PASS/FAIL Grading Option for Spring 2020 Semester at the University of Miami,True,False,False,False
30% Pay Cut for Top 10 City Managers,True,False,False,False
Justice For Jamaicans Against the Jamaica Public Service (JPS),True,False,False,False
"#MoveAsOne: Affordable, Efficient, and Humane Public Transportation for Filipinos",True,False,False,False
Give NAIA Athletes Another Year of Eligibility,True,False,False,False
Support and clear guidance for the reopening of baby and toddler classes and groups.,True,False,False,True
"UArizona COVID-19 Response from Coalition of Concerned Faculty, Staff, and Students",False,False,False,False
COVID and Poverty,True,False,False,False
Keep independent Texas restaurants alive during COVID-19,True,False,True,True
Allow Tattoo Shops in NV to reopen in Phase 2,True,False,True,True
Sailors need lifesavers too!!! Wake up world!!!,True,False,False,False
Save Tennessee’s Zoos and Aquariums,True,False,False,False
Doug Ford: Allow Horse Racing to Continue,True,False,False,False
Shift semester end exams in VTU colleges to online mode due to pandemic situation.,True,False,True,True
President Trump: Fight for Monthly Stimulus Payments and be a Hero to the People,True,False,False,False
Justice for EMS,True,False,False,False
Ask Gov. Polis to announce a COVID-19 Relief Package for Food & Bev,True,False,True,False
Stop Exposing Sanitation Workers through Open Bin Garbage Collection,False,False,False,False
Shut down and clean Amazon facilities that test positive for COVID-19 EWR9,True,False,False,True
Illinois for Remote Learning,True,False,True,True
Pay the £500 bonus to all Scottish healthcare workers,True,False,False,False
LAX Employee Busses & COVID-19 Precautions,True,False,False,False
"Help St John become fully funded, it's a travesty they aren't already!",True,False,False,False
International healthcare workers to be able to relocate overseas with minimal ielts hussle,True,False,False,False
Pay the Student Nurses and Midwives,True,False,False,False
Suppression totale des prélèvements CARMF pendant la durée de la crise Covid,False,False,False,False
Shut Down UVIC and Keep Students Safe,True,False,True,True
DO NOT OPEN OUR SCHOOLS DURING COVID-19 CRISIS,True,True,True,True
The Iranian people suffering from Coronavirus; Lift All Medical Sanctions Now,True,False,False,True
NOW! Support House Resolution 151 to protect AAPI communities from hate and bias attacks.,False,False,False,False
Hundred of Myanmar doctors are in turmoil for UK job/exams due to closure of local VFS,True,True,False,True
GOV. BROWN: OPEN POOLS IN OREGON TO COMPETITIVE SWIMMERS IN PHASE 1,True,True,True,False
Request to Make NC A&T Spring 2020 Courses Pass/Fail due to COVID-19,True,False,True,True
De-Densify Cornell's Ithaca Campus By Rescinding Jessica Zhang '24 Acceptance,True,False,False,False
#FlattenTheCurve: Order Stricter Implementation of “Work From Home” in Companies,True,False,True,False
GYMS VS. THE STATE OF ALABAMA,True,False,False,False
A law to close entertainment venues during the COVID-19 outbreak to safeguard jobs.,True,True,True,True
Keep Doulas in the Hospital Supporting Moms during COVID-19,True,False,True,False
Cancellation of final year exams as the risk of Covid 19 spread have increased.,True,False,False,True
"Pettion to Allow for Outdoor, Socially Distanced Workouts",False,False,True,False
"In wake of COVID-19 slowdown, guarantee the American people a Universal Basic Income",True,False,False,False
Cancel Rent and Mortgage Payments during Covid-19,True,True,True,True
HOLD INDIA ACCOUNTABLE FOR HUMAN RIGHTS VIOLATIONS IN KASHMIR,True,False,False,False
Change USF Class Grading to Mandatory Pass/Fail for Spring 2020  Due to COVID-19,True,True,True,True
Urgent resources for COVID-19 in Indigenous Communities,False,False,False,False
Petition to reconsider the decision of eliminating the University of Hartford Spirit teams,True,False,False,False
FLORIDA PRISONERS COVID-19,True,False,False,False
$2000/month to every American #moneyforthepeople #covid19,True,False,False,False
Ontario needs to allow salons to open before they lose their businesses!,True,True,True,True
Temporary Hazard Pay For Grocery Workers During COVID-19 Pandemic,True,False,True,False
BAME LEADERSHIP: A DEMAND FOR A COVID-19 RACE EQUALITY STRATEGY,True,False,False,False
Force Banks to Give Mortgage & Payment Holiday,True,False,False,False
Bring back Maldivians stranded in Malaysia due to Covid 19,True,True,True,True
Require masks in grocery stores to fight COVID-19,False,False,False,False
Access to Covid-19 swabbing for symptomatic NHS and frontline emergency services,True,False,False,False
"AirAsia Should Refund Its’ Customers with Cash Refund, or at least Provide The Options",True,False,False,False
Unmask our children,False,False,False,False
Improve the Mobile Network : Fix Minimum 4G Internet Speed,True,False,False,False
Create a reopening plan that allows internationals to stay in the U​.​S.,True,False,True,True
Audit PMCARES FUND,True,False,False,False
Atlanta Spa Shooting of Asian Women is a Hate Crime,True,False,False,False
"Extenuating Circumstances for international students, University of Surrey",True,False,False,False
"Smithfield has case of COVID-19 in facility in Sioux Falls SD, should shut down for 2 week",True,True,True,True
Close Surrey School District's schools due to Coronavirus spread,True,True,True,True
Make school covid-19 safe,True,False,False,False
Stop the Corona Virus: Close the New Zealand borders: Save the local economy,True,True,True,True
Don’t force students to physically attend school on May 16 in New Jersey.,True,False,False,False
Shutdown PartyTown Guelph to prevent the spread of COVID-19,True,True,True,True
Priority covid-19 testing for healthcare workers with symptoms,True,False,False,False
Africa WILL NOT be the testing ground for the Covid-19 vaccine,False,False,False,False
Shut Down Alabama,True,True,True,True
Save the Graffiti Highway,True,False,False,False
Compensation for Covid-19 fedEx Ground Drivers.,True,True,False,False
Cancel AHSEC board exam,True,False,False,True
Prepping for Tourism Re-Opening to Avoid a COVID-19 Hotspot at Laniakea Beach,True,False,True,True
"Declaration for Change:
Families Advocating for Compassionate Eldercare (FACE)",False,False,False,False
