text,annotation_43,annotation_44,annotation_45,annotation_46
Save Western Ghats from annihilation,False,False,False,False
Save Beacon Hill Park,False,False,False,False
Government of India: Don't Tax Medical Bills,False,False,False,False
NO FAILING @ UCR,False,False,False,False
WIAA - Let them play football!,False,False,False,False
#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,False,False,False,False
Schedule Disneyland to reopen at a later date.,False,False,False,False
Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,False,False,False,False
Cancel 12 th board exam,False,False,False,False
Close all CCPS schools to limit spread of Coronavirus,False,False,False,False
SAVE OUR FREEDOMS- No mandated mask-wearing,False,False,False,False
Appeal to the President of India on issues thrown up during lockdown,False,False,False,False
Waive off School Fee at Indian Schools in Oman due to COVID-19,False,False,False,False
Covid-19 Youth Brigades exploited,False,False,False,False
Protection from COVID-19,False,False,False,False
Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,False,False,False,False
"Allow restaurants to offer outdoor ""Curbside Plus"" dining",False,False,False,False
Close Holland and Barrett Stores. (Covid-19 Crisis),False,False,False,False
Doug Ford: Reinstate the Covid benefit for all ODSP recipients,False,False,False,False
Petition for holidays in Colleges in concern of COVID-19,False,False,False,False
Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,False,False,False,False
"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",False,False,False,False
Duval County Beach Access (COVID-19),False,False,False,False
Save Local Flower Shops - Let Them Deliver On Mother's Day,False,False,False,False
Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,False,False,False,False
Ticketmaster Refund Our Money Now! - COVID 19,False,False,False,False
"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",False,False,False,False
Get British performers home from cruise ships #GetBenhome #Covid 19,False,False,False,False
Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,False,False,False,False
#PostPoneJEEandNEET in COVID,False,False,False,False
Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,False,False,False,False
Reverse Postponement of Winter & Spring Sports,False,False,False,False
#letthedjsplay,False,False,False,False
Pass all CSUDH Students for Spring 2020 with an A letter grade,False,False,False,False
"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",False,False,False,False
BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,False,False,False,False
Pakistan didn't cause the pandemic - racist British reports will increase hate crime.,False,False,False,False
Stop Australian Banks Charging Interest during Covid-19,False,False,False,False
Denver Public Schools: SAFE Openings - 14 Days w/o New COVID Cases,False,False,False,False
Postpone UCLA Class of 2020 Commencement,False,False,False,False
NO IN SCHOOL EXAM COVID-19,False,False,False,False
Safeguard the Right of All Laboring People to Have Support During COVID-19 Crisis,False,False,False,False
TRUSD Must Condemn Anti-Asian and Racist Behavior,False,False,False,False
¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,False,False,False,False
Shut Down PISD schools during Covid-19 Outbreak,False,False,False,False
Renew I Am Not Okay With This,False,False,False,False
Scotland Back in the EU,False,False,False,False
Government of Ghana Must Implement the National Health Laboratory Policy,False,False,False,False
Freeze Rent for All NYC Residents,False,False,False,False
Closure of educational institutes due to multiple outbreaks of COVID-19 in Pune .,False,False,False,False
Spring sports for International leadership of texas,False,False,False,False
Temporary online classes for HELP students due to covid-19,False,False,False,False
Dominos Employees Demand COVID-19 Hazard Pay,False,False,False,False
Make FUHSD Classes Accessible Online,False,False,False,False
To impeach Governor Ron DeSantis for neglecting his duty to protect Floridians from COVID,False,False,False,False
Partial Refund of Fees for Curtin University Malaysia,False,False,False,False
ICE: Do not deport International Students,False,False,False,False
Free data for students,False,False,False,False
300 Trees being removed for redevelopment by Kejriwal Ji's Govt in Ayur Vigyan Nagar Delhi,False,False,False,False
A CALL TO ACTION FOR ESSENTIAL HEALTH & FITNESS. RE-OPEN OUR GYMS IN ONTARIO!!!,False,False,False,False
"Anchorage, AK: Repeal Emergency Order 15 to Help Our Community",False,False,False,False
COVID-19 TOTAL ENTRY BAN: ZAMBIA MUST CLOSE ITS BORDERS AND AIRPORTS IMMEDIATELY,False,False,False,False
No detriment policy for UWE Bristol,False,False,False,False
FDA expedite review and approval of lifesaving Cuban antiviral for COVID-19,True,True,True,True
Zero Percent Interest on Credit Cards during COVID19,False,False,False,False
"Make Corona Testing Free in India.
(Including Pvt. Hospitals and Clinics)",False,False,False,False
Petition for Nirma University to take preventive action against COVID 19,False,False,False,False
Hazard Pay and Family Leave for Walgreens Employees,False,False,False,False
"4-POINT THOMASIAN DEMANDS: FIGHT FOR OUR WELL-BEING, LIVELIHOOD, AND DEMOCRATIC RIGHTS!",False,False,False,False
Make masks mandatory in South Carolina,False,False,False,False
Pay PetSmart Employees While on Leave,False,False,False,False
"Wedding, Event & Creative Professionals Covid-19 Relief Fund",False,False,False,False
Dental Hygiene High Risk Occupation for exposure to COVID/19 Ensuring Personal Safety,False,False,False,False
Allow college students to pass during the COVID-19 pandemic.,False,False,False,False
HBUHSD DISTRICT SHUTDOWN FOR COVID-19 (CORONAVIRUS),False,False,False,False
Support Peoria Academy During The COVID-19 Crisis,False,False,False,False
Concerning the Safety of Soccer in a Covid-19 World - A Letter to Governor DeWine,False,False,False,False
Suspend Online Classes or Refund Our Money,False,False,False,False
Keep kids in extra curricular activities in ND.,False,False,False,False
COVID-19 crisis -more Australian music to be played on Australian radio.,False,False,False,False
Extend financial package to cover losses of covid19 lockdown to small businessman also....,False,False,False,False
Australian Medical Schools Must Consider an Opt In/Opt Out System for 2020 GPA Results,False,False,False,False
COVID-19:Provide Work From Home to all employees before it's too LATE. Health is important,False,False,False,False
Make small grants/funding available for Self Employed & Freelancers during COVID-19,False,False,False,False
Το Σπίτι Δεν Είναι Ασφαλές Για Όλες / Home Is Not Safe For All,False,False,False,False
Partial tuition refund due to the COVID-19 virus causing classes to go online,False,False,False,False
Bryn Mawr College COVID-19 Credit/No Credit Spring Semester,False,False,False,False
"Save Our Future Teachers - Support, & Share",False,False,False,False
Save Services for Those with Developmental Disabilities During Covid-19,False,False,False,False
PASSING GRADES FOR ALL STUDENTS FOR THE SPRING 2020 SEMESTER!,False,False,False,False
Kenyan Citizens requesting IMF to withhold any loans or grants to the government of Kenya!,False,False,False,False
Tell west Virginia representatives to not make hazelton/gilmer prison a quarantine site,False,False,False,False
Save Georgia Disability Services,False,False,False,False
Protect Doctors Nurses & Medics against punitive litigation during & after COVID-19 Crisis,False,False,False,False
Safe Staffing during COVID at Emanate,False,False,False,False
Help International Students Stay at The University of Texas at Austin!,False,False,False,False
The Immediate Issue of Travel Documents for Sarah's children to come to Canada,False,False,False,False
Environmental Impact Assessment Notification 2020-Withdrawal,False,False,False,False
ISO: Give engineers the Standards needed to build ventilators in fight against COVID-2019,False,False,False,False
Protect People in Long-Term Care,True,False,False,False
Please facilitate 14-days-self-quarantine of Iranian new immigrants,False,False,False,False
Waive EDD False Statement Penalty Weeks during COVID 19 for Claimants in Good Standing,False,False,False,False
Bring back McDonald's SNACK WRAPS!,False,False,False,False
Pay rise for frontline NHS staff tackling COVID-19,False,False,False,False
Allow Cigarettes and Tobaccos during COVID-19 lockdowns,False,False,False,False
Family pleads for compassionate visits in father's dying days,False,False,False,False
"Immediately Enact Vegan Law to Stop COVID-19, Climate Change, Rescuing Our World!",False,False,False,False
Time to Save the New York YMCA Camp from Potential Sale,False,False,False,False
Supermarkets: Stop Selling Suffering!,False,False,False,False
Give Oregon Kids What They Need to Learn to Read!,False,False,False,False
Allow spa and leisure facilities to demonstrate that they can reopen safely.,False,False,False,False
Compensate hospital locums and locum GPs from Covid 19 self-isolation income loss,False,False,False,False
Removal of payment of compulsory payment of ₦52000 covid test upon arrival in Nigeria.,False,False,False,False
Levez les sanctions contre l’Iran pour lutter contre l’épidémie de coronavirus !,False,False,False,False
Freeze rents & mortgages for the duration of Coronavirus,False,False,False,False
COVID-19: BE PROACTIVE NOT REACTIVE,False,False,False,False
Require Vaccination Options for WA Teachers & Students before returning to school.,True,True,True,True
Respiratory Therapists Deserve Hazard Pay,False,False,False,False
Relaxation in EMI due to COVID-19. Appeal to Govt. of India for 6 months relief.,False,False,False,False
Support Louisiana Vote-By-Mail,False,False,False,False
Stop Evictions in Whittier - COVID-19,False,False,False,False
PASS/FAIL Grading Option for Spring 2020 Semester at the University of Miami,False,False,False,False
30% Pay Cut for Top 10 City Managers,False,False,False,False
Justice For Jamaicans Against the Jamaica Public Service (JPS),False,False,False,False
"#MoveAsOne: Affordable, Efficient, and Humane Public Transportation for Filipinos",False,False,False,False
Give NAIA Athletes Another Year of Eligibility,False,False,False,False
Support and clear guidance for the reopening of baby and toddler classes and groups.,False,False,False,False
"UArizona COVID-19 Response from Coalition of Concerned Faculty, Staff, and Students",False,False,False,False
COVID and Poverty,False,False,False,False
Keep independent Texas restaurants alive during COVID-19,False,False,False,False
Allow Tattoo Shops in NV to reopen in Phase 2,False,False,False,False
Sailors need lifesavers too!!! Wake up world!!!,False,False,False,False
Save Tennessee’s Zoos and Aquariums,False,False,False,False
Doug Ford: Allow Horse Racing to Continue,False,False,False,False
Shift semester end exams in VTU colleges to online mode due to pandemic situation.,False,False,False,False
President Trump: Fight for Monthly Stimulus Payments and be a Hero to the People,False,False,False,False
Justice for EMS,False,False,False,False
