text,annotation_48,annotation_49,annotation_50,annotation_47
Postpone CBSE Board Exams,lockdowns,,,lockdowns
Pay rise for paramedics and nurses,,,,
Too Soon To Open Georgia!,lockdowns,lockdowns,lockdowns,lockdowns
Request to reconsider DPS Ruby Park school tuition and transport fees for COVID-19,lockdowns,,,lockdowns
Covid-19 Aesthetics / Salon / Massage Industry Warning & Economic Impact,,,,lockdowns
Pause classes and encourage online classes to reduce the spread of Covid-19 in AMCKK,lockdowns,lockdowns,lockdowns,lockdowns
Allow Salons to Operate with New Health Guidelines,"masking and distancing,lockdowns",lockdowns,lockdowns,masking and distancing
Open Letter to the AAMC Concerning the Medical School Application Cycle During COVID-19,,,,
Canadian Nurses Deserve Hazard Pay For Pandemics,"masking and distancing,lockdowns",,,
Maharashtra demands Resignation from Uddhav Thackeray,,,,
BC Health | Mandatory Mask Usage Across BC Shared Public Spaces,masking and distancing,masking and distancing,masking and distancing,masking and distancing
Close Seattle Central College Campus Due to COVID-19 Death in Washington and New Cases,masking and distancing,lockdowns,lockdowns,lockdowns
Rescue Australians Stranded in Peru due to Coronavirus,lockdowns,lockdowns,,
Improve COVID-19 Procedures In Correctional Facilities,,,,
Shut down Rosebank College,lockdowns,,lockdowns,lockdowns
Stop Wildlife Medicine in China,,,,lockdowns
Close Pace University NYC campus due to spread of COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Wearing face masks in public should be made mandatory by government to prevent COVID-19,masking and distancing,masking and distancing,masking and distancing,masking and distancing
Open Canada VACs in India,,,,lockdowns
Reduction on Vehicle Insurance rate during COVID 19,,,,
Safeguard the Right of New Jersey Laboring Women to Have Support During COVID-19 Crisis,,,,masking and distancing
Petition for a Gradeless Semester,lockdowns,,,
Davis Student Lease Cancellation and Rent Relief,lockdowns,,,
Save the Hazlitt,,,,
Postpone CA exams for COVID Safety Reasons #CAExams,"masking and distancing,lockdowns",lockdowns,,lockdowns
Humanitarian Appeal to Release Maulana Delawar Hossain Sayedee,,,,
Remove the CalTPA as a requirement for teachers in current educational programs,,,,
Extend the validity of PLABs and the English language test by the GMC,,,,
Release Safoora Zargar,,,,
Postpone 10th and 12th boards exam due to rise in Covid19 cases.,lockdowns,lockdowns,lockdowns,lockdowns
Fair rights for students during covid,lockdowns,,,lockdowns
Unmask Iowa's School Children,masking and distancing,,masking and distancing,masking and distancing
To allow Malaysians with valid work pass to travel in and out of singapore,,,,lockdowns
Keep Omaha Public Schools Online Until COVID-19 Controlled,lockdowns,lockdowns,lockdowns,lockdowns
Joe Biden Must Step Down,,,,
"Central University of Lucknow is conducting exams from 16th , risking the health of studen",lockdowns,,,
Financial Support for International Students in Australia facing hardships due to Covid-19,lockdowns,,,lockdowns
Freeze rent payments,lockdowns,,,lockdowns
"Animals are in pain, name groomers as an essential service in Ontario during COVID-19",,,,lockdowns
2020-2021 Basketball Season,,,,
Save Schmidt,,,,
All frontline NHS staff to receive testing for COVID 19 if symptomatic.,,,,
"Hazard Pay for ""Essential"" workers",lockdowns,,,
#FreeDarik,,,,
Start international flights in India,lockdowns,,lockdowns,lockdowns
Please make masks mandatory in Georgia,masking and distancing,masking and distancing,masking and distancing,masking and distancing
Suspend Central Vista Project and Spend the Rs 200 Billion to Fight Covid-19,,,,vaccination
#LoveIsNotTourism: Petition for Binational Unmarried Couples to Reunite During Covid (US),lockdowns,,,lockdowns
Protect our children!!! Demand Covid release,,,,
Fight covid 19 san quentin,,,,
"Save the Coral City Camera, Don't Allow Disney Cruises to Destroy Our Urban Reef",,,,
Longer exercise hours - level 4 covid restrictions,,,,lockdowns
Release Non-Violent Offenders in Prison Camps due to COVID-19,masking and distancing,masking and distancing,,
THE FATE OF AMAZONIA AND ITS GUARDIANS IS LINKED TO OURS - EUROPE MUST ACT IMMEDIATELY,,,,
Allow Reboot to open in San Francisco with COVID-19 safety precautions.,,"masking and distancing,lockdowns",lockdowns,"masking and distancing,lockdowns"
Petition to register Mesut Ozil in Arsenal's Premier League and Europa League squads,,,,
Arizona Stay At Home Orders : COVID-19,lockdowns,lockdowns,,lockdowns
Petition: to award general promotion to students in colleges associated with BU Bhopal.,,,,
"Compassionate medical release for Previn Coleman, amid COVID 19 crisis in Elkton FCI Ohio",vaccination,,,
Guru Gobind Singh Indraprastha University FINAL YEAR EXAMS TO BE CONDUCTED ONLINE.,lockdowns,,lockdowns,lockdowns
Let Wisconsin Golf,lockdowns,,,lockdowns
SAVE DEL MAR HORSEPARK,lockdowns,,,
Stop MANDATORY  Covid Testing for Suffolk County Athletes,,,,
Shut down construction sites to prevent the spread of covid 19,lockdowns,lockdowns,lockdowns,lockdowns
Have the RIIL to allow Mount Saint Charles and Hendricken to play the championship games,lockdowns,,,
"Transparency, Testing, and Online Instruction to Prevent a COVID-19 Outbreak at Mizzou",,,,lockdowns
Lower SDSU Cost of Basic Tuition and Fees Due to COVID-19 and Transition to Online Classes,lockdowns,lockdowns,,lockdowns
Protect Skateboard Retailers and Skateboarding As Essential Transportation During CoViD-19,,,,lockdowns
Extend JobKeeper for Travel  Agency Agents and Mobile Travel Agents (Sole Traders).,,,,lockdowns
The Heritage Private School: reduce payments for educational services during COVID-19,lockdowns,lockdowns,,
Keep Schools Closed Through COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Give Dolly Parton the Medal of Freedom,,,,
OUR LOVED ONES ARE DYING! Stop shielding nursing homes from liability!,lockdowns,,,
Stop Greyhound Bus Lines from NYC,,,,lockdowns
#FREE Donte Epps,,,,
COVID-19 IN Georgia's Prisons Rise,masking and distancing,,,
PROTECT OHIO’S FARMWORKERS FROM COVID-19,,,,
NO to the COVID-19 Public Health Response Bill,,,,
Pressure ICBC to Waive/Defer Monthly Insurance Premiums,,,,lockdowns
Meralco: Bill Shock during the Covid Crisis,,,,
Stop Livermore Airport Expansion that includes new FBO & B737s. Reduce small plane noise.,,,,
Allow international students to remain in the U​.​S. to complete or continue their studies.,lockdowns,,,lockdowns
Minnesota Allow for the Operation of Guided Fishing and Charter Boat Captains,,,,lockdowns
"Call for the resignation of Greg Glassman as CEO of CrossFit, Inc. #CancelGlassman",,,,
#SuspendOnlineClassesNOW,lockdowns,,,lockdowns
Lasershows statt Feuerwerke! #böllerfrei,,,,
Protect the UNT community from COVID-19 by suspending face-to-face classes and meetings.,"masking and distancing,lockdowns",lockdowns,lockdowns,lockdowns
Ban Gas-Powered  Leaf Blowers During COVID-19 Stay-At-Home Advisory in Massachusetts,lockdowns,lockdowns,lockdowns,
"British people STILL showing support for Boris, despite the biased left media",,,,
"Separate Quarantine Wards, Med Check-ups for Women & Children in Jail",lockdowns,,,masking and distancing
