text,annotation_96,annotation_53,annotation_93,annotation_94,annotation_95
Language Education in the Time of COVID-19,False,False,False,False,False
COVID-19 Test Kits,False,False,False,False,False
COVID 19 IN PRISON,False,False,False,False,False
Get Waled Home,False,False,False,False,False
Make pass/fail available for Mississippi State Students for the 2020-2021 academic year.,False,False,False,False,False
Governor Doug Burgum to Issue Mandatory Shelter-in-Place Order,False,False,True,False,False
Early release due to covid 19,False,False,False,False,False
Medical professionals need protection and gear to fight Covid 19 !,False,False,False,False,False
"Save Gilroy Recreation - Theater, Aquatics, Preschool, etc.",False,False,False,False,False
Class of 2020 to get their certification,False,False,False,False,False
Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,False,False,False,False,False
Open the 2020-2021 School Year Traditionally in Shasta County,True,False,False,False,False
Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,False,False,False,False,False
Cancel the STAAR test for the 2020/2021 school year,False,False,False,True,False
Justice For Dr. Susan Moore,False,False,False,False,False
Extend Winter Break for Brock Students,False,False,False,False,False
Get American crew members home!,False,False,False,False,False
RAISE PSW WAGES TO $25​.​00/HOUR,False,False,False,False,False
COVID-19  Dance Studio Industry Economic Hardship,False,False,False,False,False
Support More Testing for Covid,False,False,False,False,False
UBC Partial Tuition Refund,False,False,False,False,False
Close China’s wet market permanently,True,False,False,False,False
#SaveOurYouth,False,False,False,False,False
Tuition Adjustments Due to COVID-19,False,False,False,True,False
Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,False,False,False,False,False
Cancel 10th Gujarat Board Exams,True,True,False,True,True
Cancellation of all University assignments and exams due to instability caused by COVID-19,False,False,True,True,True
NEU- CLOSE CAMPUS AND START ONLINE TEACHING,True,False,True,True,False
NOW reinstate all facial treatments from behind and to the side of the face.,False,False,False,False,False
Equestrian Riding relief,False,False,False,False,False
UWC must call off university!,True,False,False,True,False
Cancel Okanagan college  Classes due to COVID-19,True,False,True,True,True
Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,False,False,False,True,True
Stop tourism to the Isle of Wight during the Covid 19 outbreak,True,False,True,True,True
No profit on Covid-19!,False,False,False,False,False
Cancel rent payments for international students during Covid 19,False,False,False,False,False
Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,False,False,False,False,False
SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,False,False,False,False,False
Make Regis University close its doors now.,True,False,False,True,False
Post Natal Massage Service as Essential Services,False,False,False,False,True
Cancellation of RTU Final Semester Examination,False,False,False,True,True
HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,False,False,False,False,False
"20 per studio classroom, rather than 20 per premises - if deemed safe.",False,False,False,False,False
VicRoads refund rego and TAC charged during covid restrictions.,False,False,True,False,False
"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",False,False,False,False,False
Create a Covid-19 relief package for informal waste pickers of Delhi,False,False,False,False,False
Take proactive action to mitigate COVID19 in Ethiopia,False,False,False,False,False
Stellenbosch University to Implement Online Examinations,True,False,True,True,True
No Schools Till Corona Ends...,True,False,True,True,True
Recreation Boating During Stay At Home,True,False,True,False,False
Chancellor Carranza - Don't Take Counselors Away From Students in the South Bronx,False,False,False,False,False
UK Legalisation & Taxation of Recreational Cannabis to help fund COVID-19 aftermath,False,False,False,False,False
COVID-19 - Free streaming services for quarantine,False,False,False,False,False
Help stop the deportation of the Ferreira family during a global pandemic.,False,False,False,False,False
Make masks mandatory for public settings in the Region of Waterloo.,False,False,False,False,False
Pay Health Care Students On Placement,False,False,False,False,False
Support private nurseries through Covid-19,False,False,False,False,False
cancel school due to the water boil order and COVID 19,True,False,False,True,True
A Twin Crisis- Gentrification & Covid Destroying Black Business In Harlem,False,False,False,False,False
Extend the Winter Break at UFV,False,False,False,False,False
TAX RELIEF FOR NEW JERSEY RESTAURANTS & SMALL BUSINESSES FROM SHUTDOWN DURING COVID-19,True,False,True,True,False
Orange County Schools Must Follow CA State Guidelines For Re-Opening,False,False,True,True,False
Cuomo and de Blasio Must Close all school buildings in NYC NOW!,True,False,True,True,True
Why final year exams shoudn't be Conducted #promote final year students,False,False,False,True,False
Offer Unconditional Citizenship to ALL non-British NHS Workers,False,False,False,False,False
We Must Ensure The Safety of Our Children,False,False,False,False,False
Riconosciamo alla Scuola il suo ruolo di tutela della Salute biopsicosociale,False,False,False,False,False
Yarra Valley should be classified as rural for Covid-19 restrictions purposes,True,True,False,False,True
Suspend Rent & Mortgage in Connecticut during COVID-19,False,False,False,False,False
NYC TRANSIT WORKERS DESERVE HAZARD PAY,False,False,False,False,False
Covid-19 Safety for Dental Practitioners and Patients in Colorado,False,False,False,False,False
Call for Peter Weir to resign,False,False,False,False,False
Temporarily Force Close Restaurants in the U​.​S to stop the spread of Covid-19,True,True,False,True,True
Covid-19 Pandemic Unemployment Payment for Cross Border Workers,False,False,False,False,False
Seek Justice for Brutal Massacre of 5 Afro-Colombian Teenagers,False,False,False,False,False
Ban the Use of Tear Gas on Peaceful Civilians & Protestors,False,False,False,False,False
COVID-19 : Guarantee people's heat and power,False,False,False,False,False
Create a COVID-19 testing spot on South Campus,False,False,False,False,False
Protest Against Covid Return Travellers at Tamworth NSW Australia,False,False,True,False,False
Close Humber College (COVID-19 / Coronavirus),True,False,True,True,True
"The IRS Is Holding Thousands Of Falsely Flagged Tax Refunds, During Covid-19 Crisis!!!",False,False,False,False,False
Henry County Shelter in Place for Covid-19,False,False,True,False,False
Schools to charge only 50% and No fees for lockdown period. Also No Vaccine No School.,True,False,True,True,False
Boots to send all non essential staff home amid Covid-19 safety measures,False,False,True,False,False
Reduce UCI Student Fees During Remote Instruction,True,False,False,False,False
Government packages and assistance for Music Fraternity in COVID 19 PANDEMIC.,False,False,False,False,False
Relief Funds for Freelance + Contracted Workers,False,False,False,True,False
Small Business COVID-19 Support,False,False,False,False,False
UW Admin create a one-credit class so international students can stay in the US,False,False,False,False,False
Distinction des cas de Covid-19 entre la Gaspésie et les Iles-de-la-Madeleine,False,False,False,False,False
Aprite le palestre di arrampicata,False,False,False,False,False
Stop TFL from removing free travel for under-18s,False,False,False,False,False
Reduce Canadian Deaths from Covid-19 and Support Canada with Social Distancing and Testing,False,False,True,False,False
誰ひとり取り残さない。新型コロナウイルスの影響に伴う収入減少に対し、この国に生きる全ての人に所得補償を!,False,False,False,False,False
Partial refund for 2nd semester fees from Kuwait private schools due to COVID19 closure,True,False,True,True,True
Postpone Class of 2020 CBE Graduation Ceremonies,False,False,False,False,False
Tell Doug Ford Critical care is not Elective care. Help our daughter to  get her surgery!,False,False,False,False,False
COVID-19 outbreak in Clinton County Detention Center,False,False,False,False,False
DEMAND NCSU to release a statement and action plan to support their international students,False,False,False,False,False
Resignation of Tedros Adhanom Ghebreyesus - The WHO Director General,False,False,False,False,False
Justin Trudeau: Do Not Test COVID immunizations on Indigenous Canadians!,False,False,False,False,False
Set up makeshift crematoriums and designate more burial grounds for COVID victims’ dignity,False,False,False,False,False
Revoke retroactive fees,False,False,False,False,False
"Allow students to alter, delay or annul their tenancy agreements because of COVID-19",False,False,True,False,False
Release Grace from Groves HS from Jail,False,False,False,False,False
We Want Justice! We Want Peace!,False,False,False,False,False
"Defy COVID 19: save zoo, stables, farm & stray animal war-refugees in Yemen",False,False,True,False,False
Close school campuses in Fremont Unified School District to avoid spreading COVID-19,True,False,True,True,True
Re-classify Fitness Centers as an Essential Business,True,False,False,False,False
"After serving 25 years , I can die from Covid-19, because I am still incarcerated.",False,False,True,False,False
Request To Make GMU Fall 2020 Classes Pass/Fail An Option Due to COVID-19,False,False,False,True,False
CT Students Go Back To School Without Masks or Social Distancing,False,False,True,False,False
Allow individual water sport participants in South Africa to access the ocean.,False,False,False,False,False
Cut Carbon Emissions by 50% in 2030 and Reach ZERO emissions by 2050!,False,False,False,False,False
Demand CA EDD accountability for Unpaid unemployment claims due to Covid 19 measures.,False,False,False,True,False
Suspend in-person instruction at UC Merced to prevent exposure to COVID-19,True,False,True,False,True
