,text,label
0,Save Western Ghats from annihilation,False
1,Save Beacon Hill Park,False
2,Government of India: Don't Tax Medical Bills,False
3,NO FAILING @ UCR,False
4,WIAA - Let them play football!,False
5,#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,False
6,Schedule Disneyland to reopen at a later date.,False
7,Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,False
8,Cancel 12 th board exam,False
9,Close all CCPS schools to limit spread of Coronavirus,False
10,SAVE OUR FREEDOMS- No mandated mask-wearing,True
11,Appeal to the President of India on issues thrown up during lockdown,False
12,Waive off School Fee at Indian Schools in Oman due to COVID-19,False
13,Covid-19 Youth Brigades exploited,False
14,Protection from COVID-19,True
15,Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,False
16,"Allow restaurants to offer outdoor ""Curbside Plus"" dining",False
17,Close Holland and Barrett Stores. (Covid-19 Crisis),False
18,Doug Ford: Reinstate the Covid benefit for all ODSP recipients,False
19,Petition for holidays in Colleges in concern of COVID-19,False
20,Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,False
21,"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",False
22,Duval County Beach Access (COVID-19),False
23,Save Local Flower Shops - Let Them Deliver On Mother's Day,False
24,Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,False
25,Ticketmaster Refund Our Money Now! - COVID 19,False
26,"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",False
27,Get British performers home from cruise ships #GetBenhome #Covid 19,False
28,Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,False
29,#PostPoneJEEandNEET in COVID,False
30,Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,False
31,Reverse Postponement of Winter & Spring Sports,False
32,#letthedjsplay,False
33,Pass all CSUDH Students for Spring 2020 with an A letter grade,False
34,"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",False
35,BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,False
36,Pakistan didn't cause the pandemic - racist British reports will increase hate crime.,False
37,Stop Australian Banks Charging Interest during Covid-19,False
38,Denver Public Schools: SAFE Openings - 14 Days w/o New COVID Cases,False
39,Postpone UCLA Class of 2020 Commencement,False
40,NO IN SCHOOL EXAM COVID-19,True
41,Safeguard the Right of All Laboring People to Have Support During COVID-19 Crisis,False
42,TRUSD Must Condemn Anti-Asian and Racist Behavior,False
43,¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,False
44,Shut Down PISD schools during Covid-19 Outbreak,False
45,Renew I Am Not Okay With This,False
46,Scotland Back in the EU,False
47,Government of Ghana Must Implement the National Health Laboratory Policy,False
48,Freeze Rent for All NYC Residents,False
49,Closure of educational institutes due to multiple outbreaks of COVID-19 in Pune .,False
50,Spring sports for International leadership of texas,False
51,Temporary online classes for HELP students due to covid-19,False
52,Dominos Employees Demand COVID-19 Hazard Pay,False
53,Make FUHSD Classes Accessible Online,False
54,To impeach Governor Ron DeSantis for neglecting his duty to protect Floridians from COVID,False
55,Partial Refund of Fees for Curtin University Malaysia,False
56,ICE: Do not deport International Students,False
57,Free data for students,False
58,300 Trees being removed for redevelopment by Kejriwal Ji's Govt in Ayur Vigyan Nagar Delhi,False
59,A CALL TO ACTION FOR ESSENTIAL HEALTH & FITNESS. RE-OPEN OUR GYMS IN ONTARIO!!!,False
60,"Anchorage, AK: Repeal Emergency Order 15 to Help Our Community",False
