text,annotation_91,annotation_85,annotation_86,annotation_87
Bad news. Johnson &amp; Johnson pauses #CovidVaccine trials,True,True,True,True
Saw this on TV and you women Need to work with the district and follow CDC guidelines.  There are so many parents that need to keep their children safe. Wearing masks and social distancing even in school. Kids are catching Covid19. Safety first.,False,False,False,False
"Two Indian vaccine candidates against COVID-19 in phase two trials: VK Paul

https://t.co/txy69JTRUv

#COVID__19… https://t.co/oC1La1FafV",True,True,True,True
The point is media &amp; govt lie abt the numbers. Reports of 100% of ppl in hospitals are unvaccinated in places like LA. BS. Virus doesn’t so one thing in one place and something else in another. CDC guidelines now repeatedly say vaccinated ppl don’t need to test ever but unvac do,True,True,True,True
"California students will continue wearing masks when school starts again, despite CDC easing its guidelines.  https://t.co/2AiDP24VOK",False,False,False,False
"U.S. public divided over Covid-19 vaccine: September 23, 2020 -- #Coronavirus #COVID19 #CovidVaccine Around half of… https://t.co/FvudXmvSH1",True,True,True,True
New CDC school guidelines: No masks required for vaccinated student... (East Bay Times)  The Centers for Disease Control and Prevention said in new guidelines Friday that students a...  Add your highlights:  https://t.co/h89zeD0p36  #Education,True,True,False,True
France reported highest number of new COVID19 cases on October 10. What's bringing it back? #breakingnews… https://t.co/isTESNwUC8,False,False,False,False
"Johnson &amp; Johnson halts vaccine trial due to unexplained illness 
https://t.co/QC7vqyGKjK

#CovidVaccine",True,True,True,True
"I don't see it being whittled down, it says they're still investigating.  The data from the UK also indicates the potential for fully vaccinated people to die of the Delta variant.   You're free to follow the CDC guidelines, but there are plenty of reasons to be more cautious.  https://t.co/6tkJ3pVVhP",True,True,False,True
"Madhya Pradesh needs more HDU, ICU beds as Covid-19 cases increase via https://t.co/rfjBfXXfRd
#Covid_19… https://t.co/bminnISkfd",False,False,False,True
Wildfire season is coming. Now is the time to check tips on staying safe: - Keep smoke outside - Reduce exposure (N95 masks can help) - Plan for pet safety - Track nearby fires - Have an evacuation plan ready Get detailed CDC guidelines here:  https://t.co/tCjIFOIXtV  https://t.co/gbxkm30Ogs,False,False,False,False
Getting these boosters w/o CDC guidelines isn't viable for most of the J&amp;J recipients and these blue checks KNOW THIS. I want to see more than antibodies in a petri dish from 10 people. Not even knowing if those 10 subjects had been tested prior to that.,True,True,True,False
Is putin pushing out a #CovidVaccine before its ready to bait donald to do the same thing?  Would hurt the US more than Russia...,True,True,True,True
Hey Trump will Putin be sending you some of his special #COVID19 vaccine. Let us all know how it works out for you.… https://t.co/I98hKjEcJj,True,True,True,True
"""THEY DIDN'T TRACK ASYMPTOMATIC CASES!"" are ALL you fools with your  #newcases listening?!
#China #intelligence 👏… https://t.co/cSLkIgSuvL",False,False,False,False
"A lot of people will be really eager to get it,” she said. “A lot will be hesitant, not only because of misinformat… https://t.co/OmY4T8PNBs",True,False,False,True
"We would appreciate if the CDC, FDA, &amp; NIH would stop implementing, approving medications &amp; guidelines that lessen our bodies immune systems’ ability to fight viruses like COVID19 &amp; increase diseases like cancer.",True,False,False,False
NIH ‘very concerned’ about serious side effect in #Coronavirus vaccine trial. #COVIDVaccine https://t.co/gItlKIG4mx,True,True,True,True
STUDIES SHOW MORPHINE MILLIGRAM EQUIVALENT (MME) USED IN CDC 2016 OPIOID GUIDELINES ARE BOTH BOGUS AND UNSCIENTIFIC: THEY MUST BE REPUDIATED AND WITHDRAWN  1.  https://t.co/EmEj17ze19,False,False,False,False
Every state separates resident and non-resident deaths. CDC guidelines.,False,False,False,False
"'Expect #COVIDvaccine in #India by early 2021'

#HealthMinister #DrHarshvardhan affirmed that a #vaccine could be r… https://t.co/kMPIQteDLL",True,True,True,True
"Probably #Indore is #COVID19 free.
Are they carrying #CovidVaccine in the pots? https://t.co/xwPCS1feNO",True,True,True,True
How many have to die?  Stop DEA. Repeal CDC opioid guidelines.   ,False,False,False,False
"However, if we were to impose mandatory #vaccination, we would need a scheme to look after the very few who may hav… https://t.co/hVeDrX5Vn3",True,True,True,True
"Treat your Patients !!!  Doctors followed CDC guidelines and now I am in great pain &amp; on the floor...   For those Doctors who choose to act with little thought, heart, and most importantly... lack of fortitude to do what's right--- for their patient's.  Honor your Oath, treat !!!",False,False,False,False
It’s a preliminary injunction only.  I would like to know if the cruise industry is going to follow not only CDC guidelines but common sense guidelines to have vaccinated people only on their sailings or are they going to gamble with the reckless politics of Gov. DeSantis.,False,True,False,False
Look at you! Rushing a #CovidVaccine before the election. You have botched the entire #COVID19 pan… https://t.co/j3z3e5cgvD,True,True,True,True
"After vaccine announcement, 
govt. announces commencement of exams.

.........#RussianVaccine #CovidVaccine
#Russia… https://t.co/RgDjpUD4ug",True,True,True,True
"First it was by end of year, then it was Dec, now its 2021. Oxford #Coronavirus vaccine update: Phase III trials to… https://t.co/0CpdMCpNqQ",True,True,True,True
"The Covid vaccine will not be safe. #COVID19 #COVIDIOTS #covidvaccine #vaccine 
https://t.co/GuVn0JpX6d",True,True,True,True
"No proof of relapse, reinfection among Covid recovered: ICMR | Pune News - Times of India
#pune #CovidVaccine… https://t.co/zjhesMgqJx",True,False,False,True
