text,annotation_51,annotation_52,annotation_53,annotation_54
Follow the CDC guidelines. Don’t become a statistic.,True,False,True,False
Do you agree with CDC guidelines that children as young as two should be masked?,True,True,True,True
"So, both #Pharmaceutical companies #lilly and #Johnsonandjohnson have suspended trials on #Covidvaccine 😱 I’m sure… https://t.co/iGLSGLyqUH",False,False,False,False
The CDC's guidelines are clear; you just don't like them.,True,False,False,False
CDC Updates School Guidelines For Students Returning In The Fall  https://t.co/j8OEklA9uJ,True,False,False,False
School Officials React to New CDC Guidelines  https://t.co/QEXFHh9Mjk,True,False,False,False
"#China, the virus and #Egypt. #CovidVaccine https://t.co/cQdR26BMuM",False,False,False,False
My state will get #CovidVaccine On December 2023. https://t.co/B4V1thoBY7,False,False,False,False
"The World is looking at #Hyderabad for #CovidVaccine 

#COVID19India https://t.co/vDvTmEIo2m",False,False,False,False
Congratulations to for successfull development of the #CovidVaccine. Now World is able to find the… https://t.co/to07M8qAk5,False,False,False,False
"Sadly, President Biden and CDC Director are doing the same thing now, in lifting the indoor mask guidelines. It's very disappointing.",True,True,True,True
Anyone who entertains - at all - the possibility of a #CovidVaccine being safely available in time f… https://t.co/8o9fVKe7mg,False,False,False,False
".⁦⁦   So we’re now letting business groups, including the US Chamber of Commerce, set our CDC COVID guidelines?  We’d expect it from the former guy. BUT THIS ADMINISTRATION?  https://t.co/FbwNJMwCls",True,False,False,False
"Lol, no, it’s a direct result of quislings like you downplaying the pandemic, ignoring CDC guidelines and promoting anti-vaccination lies.",True,False,False,False
"Statistics as of the end of June revealed that over 311mn vaccines have been administered to Americans. As more residents get vaccinated, states are lifting their #COVID19 restrictions to match CDC guidelines. Here are all of the updated state guidelines:  https://t.co/6HXelvYAsA",True,False,False,False
"There's no magic solution, but we can a least solve 99% of the problem by following the CDC guidance. The CDC requires quarantine only of ""close contacts,"" defined as someone closer than 3' w/o a mask. Given current mask &amp; distancing guidelines, no kids would have to quarantine.  https://t.co/CUzkO1qZLp",True,True,True,False
"Despite my expectations, I wasn't vaccined yesterday. I was only tested for alcohol, drugs, hepatitis, syphilis and… https://t.co/CAWpaAjT6x",False,False,False,False
"Which vaccine will you prefer  ?  

#RussianVaccine
#CovidVaccine 
#COVID19",False,False,False,False
STUDIES SHOW MORPHINE MILLIGRAM EQUIVALENT (MME) USED IN CDC 2016 OPIOID GUIDELINES ARE BOTH BOGUS AND UNSCIENTIFIC: THEY MUST BE REPUDIATED AND WITHDRAWN  1.  https://t.co/EmEj17ze19,False,False,False,False
Going against CDC guidelines … you must be anti vax too,False,False,False,False
https://t.co/RymqkImNQW #covidvaccine #oxfordvaccine#covishield ,False,False,False,False
"The Serum Institute of India (SII), which was conducting the India trials for the coronavirus vaccine being develop… https://t.co/5BqZnoBBHq",False,False,False,False
“We are going to need everyone to mask up because the aliens can’t see you if you’re wearing at least one mask. Two is recommended per the CDC guidelines but one works as well IF you’re vaccinated. Together we can win this war and build back better.” - Biden,True,True,True,True
The CDC guidelines themselves said that you didn't need a mask if you're indoor and vaccinated.,True,True,True,True
i’m no tv programming expert but a reality show where border force officials go door to door to deliver mandatory c… https://t.co/L69tS96aQ0,False,False,True,False
"In a major development, Adar Poonawalla's Serum Institute of India has started the Phase-2/3 trial of a promising C… https://t.co/n7Eh9GeJOO",False,False,False,False
Same here. Since I got vaccinated and the cdc changed guidelines I mostly just mask in places where the employees are still masking.,True,True,True,True
"JUST IN: Vaccinated teachers and students don't need to wear masks inside schools, the CDC said in relaxing its COVID-19 guidelines.  https://t.co/kBtY8TGV8L",True,True,True,True
"Lol... CDC came out with more useful guidelines weeks ago. Tam has no credibility,is irrelevant.",True,False,False,False
Per CDC guidelines he doesn’t have to quarantine if he’s fully vaccinated?,False,False,False,False
"Breaking : #Russia released world's first #CovidVaccine. #RussianVaccine

Indians are still worried.😰 https://t.co/EozzSOK8s7",False,False,False,False
"Join us on 14th August @ 12 p.m. to get to know about all the precautions we adhere to.

#HomeScape #Solar… https://t.co/NeGAxw5zfM",True,False,True,False
UK signs €1.4bn deal for Valneva coronavirus vaccine. 🇬🇧🇫🇷🦠 #Valneva #CovidVaccine  https://t.co/D25MRjCBkN,False,False,False,False
The world’s best biopharmaceutical researchers are in a race to develop an effective Covid-19 vaccine. But it’s als… https://t.co/vKigmWV2Pk,False,False,False,False
#covidvaccine fail. Trial stopped again due to serious adverse event .the first time in July the person got #MS the… https://t.co/35yz4AUdG3,False,False,False,False
“You are wearing a gun holster dude”. In rebuttal to the topic of CDC guidelines and censorship.  It’s like watching Biden at his best.,True,False,True,True
"Our district wouldn’t budge! 🙌🏽I’m a school RN. Parents hollering &amp; fussing &amp; my boss just looked at them like, “Come at me, bro!” 😂💪🏽Her only response was, “I am following CDC and local health dept guidelines.” With a look that could kill. She’s the best!",True,False,False,False
"CDC schools guidelines prioritize in-person learning, even though not all Covid-19 safety measures are in place  https://t.co/QzBOTN6dnm",True,False,False,False
 it is a bitter truth that those who are searching in Google {non Medical}  know much about covid than 90 percent of doctors.. Reason doctors(not all) after graduation  read only who/cdc/fda guidelines and hear lectures of medical rep about  newly launched medicine..,False,False,False,False
"Hello Everyone, 1/11) Dr. Fauci Speaks On CDC’s New Guidelines For Fully Vaccinated Students  https://t.co/RA11rzyzUk #Pfizer #vaccine #booster #coronavirus #CDC",False,False,False,False
"And since the CDC and administration relaxed covid guidelines despite the objections of everyone with functioning brain cells (with states directly following their lead, causing this predicament), do we conclude that the admin and CDC don't care about Black and Brown people?",True,False,False,False
"Looks like #CovidVaccine will also meet fate of #PolioVaccine.

BTW, what happened to #EconomicBoycott? https://t.co/X5K6AyW1XV",False,False,False,False
Since you are informing the public about mask. You should put out correct information. The CDC makes guidelines they do not make laws. Plus it's not the law weather to wear a mask or not. I have not found any law made to that rule. Please truly care for the people and tru facts,True,True,True,True
It also means to have manufacturing capacity for hundreds of millions of doses #covid19 #vaccine #CovidVaccine https://t.co/NbQEj9Zcq0,False,False,False,False
Why has the CDC not updated their tx guidelines for STIs since 2015?,False,False,False,False
India's drug regulator has directed Serum Institute of India to suspend recruitment of new volunteers for phase 2 a… https://t.co/g1a3NFbr0T,False,False,False,False
Then I hope you're following the CDC guidelines which recommend n95 and btw  change it after each encounter notice what they say about surgical masks they might as well say stop with the theater.  https://t.co/wYYeKWMnuG  https://t.co/EbeCjn5AGE,True,True,True,True
Status and Future of the Pandemic: #fema #iaem #nema #dhs #disasters #covid19 #coronavirus #hhs #cdc #nytimes… https://t.co/8MC5G42sno,False,False,False,False
[CLIENT OPINION] COVID-19 vaccine research theft should be a wake-up call for universities: opinion by Geoff Schomb… https://t.co/JV5SF6F5eN,False,False,False,False
"The World’s Best Hope for Enough #Covid19 Vaccine Comes from India 
#CoronavirusVaccine… https://t.co/po5NJBJwOU",False,False,False,False
Its not a pandemic. Cdc guidelines state it has to have a 7% deathrate. Covid is less than the flu. Get over it and stop giving up your freedom to privacy.,True,False,True,False
"This is funny, I don’t care who you are. #FakeNewsIsTheRealPandemic
#LiberalHypocrisy #LiberalLogic… https://t.co/ssBOugkwZz",False,False,False,False
"Covid-19 vaccine will be second most appreciated thing from Russia. Vodka will always be first

#CovidVaccine",False,False,False,False
"It SHOULD be the elderly and most vulnerable. 

It WILL be the rich and powerful. 

#CovidVaccine https://t.co/CmJWXDcty4",False,False,False,False
"Lol.  It proves my thesis that the risk to the vaccinated is extremely low.  So low that it is ridiculous to require the vaccinated to wear masks, except in certain places like hospitals, doctors offices, airplanes, and subways.  The CDC guidelines are consistent with this.",True,True,True,False
